epoch,loss
1,0.00668
2,0.00041
3,0.00036
4,0.00034
5,0.00031
6,0.00030
7,0.00028
8,0.00029
9,0.00026
10,0.00025
11,0.00023
12,0.00020
13,0.00020
14,0.00021
15,0.00018
16,0.00017
17,0.00018
18,0.00017
19,0.00017
20,0.00019
21,0.00015
22,0.00015
23,0.00015
24,0.00013
25,0.00013
26,0.00015
27,0.00013
28,0.00015
29,0.00015
30,0.00013
31,0.00012
32,0.00012
33,0.00014
34,0.00012
35,0.00011
36,0.00011
37,0.00011
38,0.00010
39,0.00013
40,0.00011
41,0.00011
42,0.00011
43,0.00010
44,0.00011
45,0.00010
46,0.00010
47,0.00012
48,0.00011
49,0.00011
50,0.00010
51,0.00010
52,0.00010
53,0.00010
54,0.00010
55,0.00010
56,0.00009
57,0.00010
58,0.00009
59,0.00010
60,0.00012
61,0.00009
62,0.00010
63,0.00010
64,0.00009
65,0.00010
66,0.00011
67,0.00009
68,0.00010
69,0.00009
70,0.00009
71,0.00009
72,0.00009
73,0.00010
74,0.00009
75,0.00009
76,0.00009
77,0.00009
78,0.00010
79,0.00010
80,0.00009
81,0.00009
82,0.00009
83,0.00009
84,0.00009
85,0.00009
86,0.00009
87,0.00009
88,0.00009
89,0.00009
90,0.00008
91,0.00009
92,0.00009
93,0.00009
94,0.00010
95,0.00009
96,0.00009
97,0.00009
98,0.00008
99,0.00009
100,0.00008
