epoch,loss
1,0.01458
2,0.00037
3,0.00038
4,0.00034
5,0.00033
6,0.00033
7,0.00032
8,0.00030
9,0.00028
10,0.00026
11,0.00027
12,0.00024
13,0.00024
14,0.00023
15,0.00021
16,0.00020
17,0.00019
18,0.00018
19,0.00017
20,0.00016
21,0.00016
22,0.00015
23,0.00015
24,0.00014
25,0.00015
26,0.00014
27,0.00014
28,0.00013
29,0.00013
30,0.00014
31,0.00013
32,0.00012
33,0.00013
34,0.00012
35,0.00011
36,0.00010
37,0.00011
38,0.00011
39,0.00011
40,0.00011
41,0.00010
42,0.00010
43,0.00010
44,0.00010
45,0.00010
46,0.00010
47,0.00009
48,0.00009
49,0.00009
50,0.00009
51,0.00009
52,0.00010
53,0.00009
54,0.00009
55,0.00009
56,0.00009
57,0.00010
58,0.00010
59,0.00009
60,0.00008
61,0.00009
62,0.00009
63,0.00008
64,0.00009
65,0.00010
66,0.00009
67,0.00008
68,0.00008
69,0.00008
70,0.00009
71,0.00009
72,0.00012
73,0.00008
74,0.00008
75,0.00008
76,0.00008
77,0.00008
78,0.00009
79,0.00008
80,0.00008
81,0.00008
82,0.00010
83,0.00008
84,0.00008
85,0.00008
86,0.00009
87,0.00009
88,0.00008
89,0.00008
90,0.00008
91,0.00008
92,0.00008
93,0.00008
94,0.00008
95,0.00009
96,0.00008
97,0.00008
98,0.00008
99,0.00009
100,0.00008
