epoch,loss
1,0.01179
2,0.00038
3,0.00037
4,0.00036
5,0.00034
6,0.00037
7,0.00033
8,0.00031
9,0.00031
10,0.00027
11,0.00026
12,0.00025
13,0.00023
14,0.00021
15,0.00021
16,0.00020
17,0.00020
18,0.00020
19,0.00018
20,0.00017
21,0.00017
22,0.00017
23,0.00015
24,0.00014
25,0.00014
26,0.00014
27,0.00013
28,0.00014
29,0.00013
30,0.00012
31,0.00011
32,0.00013
33,0.00011
34,0.00011
35,0.00012
36,0.00009
37,0.00011
38,0.00010
39,0.00009
40,0.00009
41,0.00010
42,0.00009
43,0.00010
44,0.00008
45,0.00009
46,0.00008
47,0.00009
48,0.00009
49,0.00009
50,0.00010
51,0.00009
52,0.00008
53,0.00008
54,0.00008
55,0.00010
56,0.00008
57,0.00009
58,0.00008
59,0.00008
60,0.00009
61,0.00011
62,0.00008
63,0.00009
64,0.00008
65,0.00008
66,0.00010
67,0.00009
68,0.00009
69,0.00008
70,0.00008
71,0.00009
72,0.00008
73,0.00008
74,0.00008
75,0.00009
76,0.00008
77,0.00009
78,0.00008
79,0.00009
80,0.00008
81,0.00008
82,0.00008
83,0.00008
84,0.00007
85,0.00009
86,0.00008
87,0.00008
88,0.00009
89,0.00008
90,0.00008
91,0.00008
92,0.00009
93,0.00008
94,0.00008
95,0.00008
96,0.00008
97,0.00008
98,0.00008
99,0.00008
100,0.00008
