epoch,loss
1,0.00820
2,0.00040
3,0.00037
4,0.00035
5,0.00032
6,0.00035
7,0.00028
8,0.00028
9,0.00026
10,0.00023
11,0.00024
12,0.00023
13,0.00020
14,0.00021
15,0.00020
16,0.00019
17,0.00018
18,0.00018
19,0.00015
20,0.00015
21,0.00017
22,0.00017
23,0.00015
24,0.00013
25,0.00017
26,0.00013
27,0.00012
28,0.00014
29,0.00012
30,0.00012
31,0.00011
32,0.00011
33,0.00011
34,0.00011
35,0.00011
36,0.00010
37,0.00010
38,0.00010
39,0.00011
40,0.00010
41,0.00009
42,0.00009
43,0.00009
44,0.00009
45,0.00010
46,0.00009
47,0.00009
48,0.00010
49,0.00010
50,0.00009
51,0.00012
52,0.00009
53,0.00009
54,0.00010
55,0.00009
56,0.00009
57,0.00010
58,0.00009
59,0.00008
60,0.00008
61,0.00008
62,0.00009
63,0.00009
64,0.00008
65,0.00009
66,0.00009
67,0.00008
68,0.00008
69,0.00008
70,0.00009
71,0.00008
72,0.00009
73,0.00009
74,0.00008
75,0.00009
76,0.00009
77,0.00008
78,0.00008
79,0.00008
80,0.00008
81,0.00008
82,0.00009
83,0.00009
84,0.00008
85,0.00008
86,0.00009
87,0.00008
88,0.00008
89,0.00009
90,0.00008
91,0.00008
92,0.00009
93,0.00007
94,0.00008
95,0.00008
96,0.00008
97,0.00008
98,0.00008
99,0.00008
100,0.00008
