epoch,loss
1,0.01008
2,0.00040
3,0.00040
4,0.00037
5,0.00038
6,0.00036
7,0.00036
8,0.00036
9,0.00033
10,0.00030
11,0.00028
12,0.00030
13,0.00026
14,0.00025
15,0.00027
16,0.00023
17,0.00022
18,0.00020
19,0.00020
20,0.00019
21,0.00024
22,0.00018
23,0.00018
24,0.00016
25,0.00016
26,0.00023
27,0.00013
28,0.00014
29,0.00012
30,0.00011
31,0.00013
32,0.00013
33,0.00012
34,0.00011
35,0.00011
36,0.00010
37,0.00010
38,0.00010
39,0.00010
40,0.00010
41,0.00009
42,0.00011
43,0.00010
44,0.00009
45,0.00008
46,0.00009
47,0.00009
48,0.00009
49,0.00009
50,0.00009
51,0.00008
52,0.00008
53,0.00009
54,0.00009
55,0.00008
56,0.00010
57,0.00008
58,0.00008
59,0.00009
60,0.00008
61,0.00008
62,0.00008
63,0.00008
64,0.00009
65,0.00008
66,0.00009
67,0.00008
68,0.00008
69,0.00008
70,0.00009
71,0.00009
72,0.00008
73,0.00008
74,0.00008
75,0.00008
76,0.00008
77,0.00008
78,0.00008
79,0.00008
80,0.00010
81,0.00008
82,0.00008
83,0.00008
84,0.00008
85,0.00008
86,0.00008
87,0.00008
88,0.00008
89,0.00008
90,0.00008
91,0.00009
92,0.00008
93,0.00008
94,0.00009
95,0.00008
96,0.00008
97,0.00008
98,0.00009
99,0.00008
100,0.00008
